t,u1,u2
-0.01194802523409364,0.008979633752531153,4.806859992772127
-0.01193358523409364,0.01265888636731299,4.806859992772127
-0.01191914523409364,0.04945141251512804,4.806859992772127
-0.01190470523409364,0.02737589682644035,4.810578643642777
-0.01189026523409364,0.02369664421165851,4.806859992772127
-0.01187582523409364,0.03473440205600403,4.806859992772127
-0.01186138523409364,0.02369664421165851,4.810578643642777
-0.01184694523409364,0.04577215990034955,4.810578643642777
-0.01183250523409364,0.03105514944122219,4.810578643642777
-0.01181806523409364,0.02737589682644537,4.806859992772127
-0.01180362523409364,0.06048917035947691,4.806859992772127
-0.01178918523409364,0.01633813898209483,4.806859992772127
-0.01177474523409364,0.05313066512991323,4.806859992772127
-0.01176030523409364,0.04209290728556771,4.806859992772127
-0.01174586523409364,0.04945141251513139,4.806859992772127
-0.01173142523409364,0.04209290728556771,4.806859992772127
-0.01171698523409364,0.05680991774469507,4.806859992772127
-0.01170254523409364,0.05680991774469507,4.810578643642777
-0.01168810523409364,0.04577215990034955,4.803141341901477
-0.01167366523409364,0.04577215990034955,4.806859992772127
-0.01165922523409364,0.03473440205600403,4.806859992772127
-0.01164478523409364,0.06784767558904059,4.803141341901477
-0.01163034523409364,0.03841365467078587,4.810578643642777
-0.01161590523409364,0.08624393866294978,4.806859992772127
-0.01160146523409364,0.06416842297425875,4.810578643642777
-0.01158702523409364,0.2370932958689868,4.810578643642777
-0.01157258523409364,0.04577215990034955,4.806859992772127
-0.01155814523409364,0.104640201736859,4.806859992772127
-0.01154370523409364,0.04945141251513139,4.806859992772127
-0.01152926523409364,0.1119987069664227,4.806859992772127
-0.01151482523409364,0.04209290728556771,4.803141341901477
-0.01150038523409364,0.12671571742555,4.806859992772127
-0.01148594523409364,0.07520618081860427,4.810578643642777
-0.01147150523409364,0.1524704857290229,4.803141341901477
-0.01145706523409364,0.07152692820382242,4.806859992772127
-0.01144262523409364,0.2223762854098779,4.803141341901477
-0.01142818523409364,0.04577215990034955,4.803141341901477
-0.01141374523409364,1.716152847011305,4.806859992772127
-0.01139930523409364,0.03105514944122219,4.799422691030827
-0.01138486523409364,1.763983131003469,4.806859992772127
-0.01137042523409364,0.104640201736859,4.810578643642777
-0.01135598523409364,0.770584925012372,4.803141341901477
-0.01134154523409364,0.3732256426159333,4.803141341901477
-0.01132710523409364,1.083321397268828,4.803141341901477
-0.01131266523409364,0.6749243570280441,4.806859992772127
-0.01129822523409364,1.491718437509612,4.803141341901477
-0.01128378523409364,1.123793176031429,4.803141341901477
-0.01126934523409364,1.190019723097502,4.803141341901477
-0.01125490523409364,2.157663160785094,4.803141341901477
-0.01124046523409364,2.117191382022525,4.806859992772127
-0.01122602523409364,2.223889707851199,4.803141341901477
-0.01121158523409364,3.555779154402225,4.803141341901477
-0.01119714523409364,3.419646807655297,4.806859992772127
-0.01118270523409364,3.695590753763935,4.803141341901477
-0.01116826523409364,3.88691188973259,4.799422691030827
-0.01115382523409364,4.041440499553428,4.799422691030827
-0.01113938523409364,4.0267234890943,4.806859992772127
-0.01112494523409364,4.015685731249954,4.803141341901477
-0.01111050523409364,4.008327226020391,4.803141341901477
-0.01109606523409364,4.000968720790827,4.803141341901477
-0.01108162523409364,4.000968720790827,4.795704040160177
-0.01106718523409364,3.997289468176045,4.803141341901477
-0.01105274523409364,4.000968720790827,4.803141341901477
-0.01103830523409364,4.000968720790827,4.803141341901477
-0.01102386523409364,3.997289468176045,4.803141341901477
-0.01100942523409364,4.000968720790827,4.803141341901477
-0.01099498523409364,3.997289468176045,4.803141341901477
-0.01098054523409364,3.997289468176045,4.803141341901477
-0.01096610523409364,3.997289468176045,4.806859992772127
-0.01095166523409364,4.000968720790827,4.803141341901477
-0.01093722523409364,3.997289468176045,4.803141341901477
-0.01092278523409364,3.982572457716918,4.806859992772127
-0.01090834523409364,4.000968720790827,4.810578643642777
-0.01089390523409364,4.000968720790827,4.810578643642777
-0.01087946523409364,3.997289468176045,4.810578643642777
-0.01086502523409364,3.993610215561263,4.806859992772127
-0.01085058523409364,4.000968720790827,4.806859992772127
-0.01083614523409364,4.004647973405609,4.803141341901477
-0.01082170523409364,4.000968720790827,4.803141341901477
-0.01080726523409364,4.000968720790827,4.806859992772127
-0.01079282523409364,4.004647973405609,4.806859992772127
